location_id,dim_store_id,loc_stateabbrv,loc_city2,loc_city,loc_zipcode,loc_lat,loc_long,location_type
589,2062,ND,Williston,WILLISTON,58801,48.343667,-103.6157939,is_bluebook
684,2189,ND,Beach,BEACH,58621,46.9296709,-104.009434,is_bluebook
685,1151,ND,Fargo,FARGO,58104,46.833604,-96.844738,is_bluebook
978,367,ND,Fargo,FARGO,58102,46.8872,-96.845,unkn
1222,3287,ND,Fargo,FARGO,58102,46.8893218,-96.8359101,is_bluebook_one9
1223,3291,ND,Grand Forks,GRAND FORKS,58206,47.9319193,-97.0955959,is_bluebook_one9
1224,3289,ND,Bismarck,BISMARCK,58501,46.8294984,-100.7293516,is_bluebook_one9
686,279,NE,Gretna,GRETNA,68028,41.09173,-96.2544292,is_bluebook
687,583,NE,North Platte,NORTH PLATTE,69101,41.100851,-100.72662,is_bluebook
901,929,NE,Elm Creek,ELM CREEK,68836,40.6924439,-99.3812254,is_bluebook_one9
902,790,NE,Grand Island,GRAND ISLAND,68801,40.8308267,-98.3807521,is_licensee
904,157,NE,Big Springs,BIG SPRINGS,69122,41.0519437,-102.0686388,is_bluebook
912,2355,NE,Wood River,WOOD RIVER,68883,40.7603434,-98.586556,is_bluebook
896,2284,NH,Bow,BOW,03304,43.1222243,-71.4803757,is_dealer
190,1327,NJ,Hampton,HAMPTON,08827,40.6367631,-74.9678961,is_bluebook
210,1312,NJ,Mahwah,MAHWAH,07430,41.0920661,-74.1557162,is_bluebook
253,489,NJ,Carneys Point,CARNEYS POINT,08069,39.6812843,-75.4792724,is_bluebook
280,1638,NJ,Bloomsbury,BLOOMSBURY,08804,40.659686,-75.072731,is_bluebook
688,1037,NJ,Carneys Point,CARNEYS POINT,08069,39.684636,-75.485705,is_bluebook
880,1643,NJ,Montague,MONTAGUE,07827,41.3496629,-74.6870226,is_dealer
891,1019,NJ,Roxbury,ROXBURY,07852,40.8922488,-74.6861188,is_dealer
1098,2817,NJ,Newark,NEWARK,07105,40.7194025,-74.1246988,is_bluebook
163,1662,NM,Lordsburg,LORDSBURG,88045,32.342371,-108.68129,is_bluebook
266,960,NM,Las Cruces,LAS CRUCES,88005,32.2962613,-106.8106477,is_bluebook
305,1677,NM,Jamestown,JAMESTOWN,87347,35.4806895,-108.432612,is_bluebook
475,2212,NM,Moriarty,MORIARTY,87035,35.0111866,-106.044475,is_bluebook
490,1537,NM,Carlsbad,CARLSBAD,88221,32.3879693,-104.2150923,is_licensee
557,796,NM,Hobbs,HOBBS,88240,32.6976017,-103.1837376,is_bluebook
689,1239,NM,Albuquerque,ALBUQUERQUE,87105,35.0799322,-106.7459478,is_bluebook
690,1682,NM,Lordsburg,LORDSBURG,88045,32.341143,-108.676737,is_bluebook
691,1089,NM,Tucumcari,TUCUMCARI,88401,35.158341,-103.7038892,is_bluebook
976,1699,NM,Hobbs,HOBBS,88240,32.7243,-103.1474,unkn
1070,2804,NM,Santa Rosa,SANTA ROSA,88435,34.946751,-104.651195,is_bluebook
1107,2906,NM,Lovington,LOVINGTON,88260,32.9194,-103.3353,unkn
1118,3091,NM,Clovis,CLOVIS,88101,34.3959959,-103.152634,is_bluebook
1165,3169,NM,Jal,JAL,88252,32.1206112,-103.1885434,is_bluebook
8601,2317,NM,Artesia,ARTESIA,88210,32.8422569,-104.3957636,is_licensee
8603,869,NM,Artesia,ARTESIA,88210,32.872152,-104.401517,is_licensee
8604,1274,NM,Hobbs,HOBBS,88240,32.7004768,-103.1500887,is_licensee
8605,1869,NM,Eunice,EUNICE,88240,32.442783,-103.16189,is_licensee
8658,1633,NM,Hobbs,HOBBS,88240,32.73917,-103.1635279,is_licensee
147,1020,NV,West Wendover,WEST WENDOVER,89883,40.739755,-114.066704,is_bluebook
340,2197,NV,Fernley,FERNLEY,89408,39.6140506,-119.2665807,is_bluebook
341,31,NV,North Las Vegas,NORTH LAS VEGAS,89031,36.2409176,-115.0978909,is_bluebook
387,1735,NV,Carlin,CARLIN,89822,40.7197594,-116.1061739,is_bluebook
485,800,NV,Winnemucca,WINNEMUCCA,89445,40.9313859,-117.8055892,is_bluebook
513,2415,NV,Primm,PRIMM,89019,35.609695,-115.391695,is_dealer
692,182,NV,Wells,WELLS,89835,41.0976715,-114.9577979,is_bluebook
770,404,NV,Winnemucca,WINNEMUCCA,89445,40.9602597,-117.7481952,is_bluebook
966,703,NV,Battle Mountain,BATTLE MOUNTAIN,89820,40.6483271,-116.9435253,is_licensee
1005,2333,NV,Fernley,FERNLEY,89408,39.6150119,-119.2157324,is_bluebook
1171,3193,NV,Mesquite,MESQUITE,89027,36.7830337,-114.1404743,is_dealer
146,1041,NY,Castleton - On - Hudson,CASTLETON - ON - HUDSON,12033,42.4976877,-73.6743628,is_bluebook
322,1119,NY,Bath,BATH,14810,42.3770391,-77.3637829,is_bluebook
380,1008,NY,Liverpool,LIVERPOOL,13088,43.086934,-76.1652131,is_bluebook
394,120,NY,Newburgh,NEWBURGH,12550,41.5203388,-74.1130765,is_bluebook
494,2127,NY,Rotterdam,ROTTERDAM,12306,42.7814304,-74.0288877,is_bluebook
693,680,NY,Pembroke,PEMBROKE,14036,43.0009505,-78.4074113,is_bluebook
1339,4286,NY,Parish,PARISH,13131,43.4583356,-76.1154948,is_one9_dealer
2,1581,OH,Austinburg,AUSTINBURG,44010,41.7854915,-80.8541584,is_bluebook
3,2229,OH,Austintown,AUSTINTOWN,44515,41.1286259,-80.7704942,is_bluebook
4,238,OH,Avon,AVON,44011,41.4653687,-82.0607195,is_bluebook
6,479,OH,Cambridge,CAMBRIDGE,43725,39.9970079,-81.5771654,is_bluebook
8,1549,OH,Circleville,CIRCLEVILLE,43113,39.5580927,-82.9573344,is_bluebook
9,1295,OH,Franklin,FRANKLIN,45005,39.5431073,-84.2903974,is_bluebook
11,2378,OH,North Lima,NORTH LIMA,44452,40.9589085,-80.660263,is_bluebook
12,1522,OH,Perrysburg,PERRYSBURG,43551,41.5227102,-83.462136,is_bluebook
13,2112,OH,Seville,SEVILLE,44273,41.0297493,-81.9068451,is_bluebook
14,718,OH,Sunbury,SUNBURY,43074,40.265454,-82.92396,is_bluebook
15,200,OH,Toledo,TOLEDO,43612,41.7239884,-83.5081257,is_bluebook
16,1789,OH,Wilmington,WILMINGTON,45177,39.5227587,-83.8460173,is_bluebook
97,260,OH,Vandalia,VANDALIA,45377,39.9024473,-84.1925923,is_bluebook
130,168,OH,Richfield,RICHFIELD,44286,41.2761778,-81.6264363,is_bluebook
213,886,OH,Columbus,COLUMBUS,43204,39.9730818,-83.0999218,is_bluebook
239,1259,OH,Upper Sandusky,UPPER SANDUSKY,43351,40.8339377,-83.2454119,is_bluebook
281,1051,OH,Girard,GIRARD,44420,41.1398517,-80.7192765,is_bluebook
285,2404,OH,Hebron,HEBRON,43025,39.945633,-82.536306,is_bluebook
286,251,OH,Eaton,EATON,45320,39.831662,-84.6303185,is_bluebook
287,2026,OH,Burbank,BURBANK,44214,40.9990299,-81.9971929,is_bluebook
303,2184,OH,Napoleon,NAPOLEON,43545,41.4162451,-84.1045652,is_bluebook
309,1207,OH,Caldwell,CALDWELL,43724,39.7374807,-81.5276284,is_bluebook
360,930,OH,Findlay,FINDLAY,45840,41.1368441,-83.6603597,is_bluebook
449,384,OH,Belmont,BELMONT,43718,40.0574066,-81.0507688,is_bluebook
454,1681,OH,London,LONDON,43140,39.958751,-83.370175,is_bluebook
